四段・ハ行,命令ｅ,へ
四段・ハ行,連用形,ひ
四段・ハ行,仮定形,へ
四段・ハ行,基本形,ふ
四段・ハ行,未然形,は
四段・サ行,命令ｅ,せ
四段・サ行,連用形,し
四段・サ行,仮定形,せ
四段・サ行,基本形,す
四段・サ行,未然形,さ
下二・得,体言接続,る
下二・得,命令ｙｏ,よ
下二・得,基本形,
下二・得,未然ウ接続,よ
下二・得,未然形,
下二・得,仮定形,れ
下二・得,連用形,
ラ変,体言接続,る
ラ変,命令ｅ,れ
ラ変,基本形,り
ラ変,未然形,ら
ラ変,仮定形,れ
ラ変,連用形,り
五段・ラ行特殊,命令ｅ,れ
五段・ラ行特殊,連用タ接続,っ
五段・ラ行特殊,命令ｉ,い
五段・ラ行特殊,基本形,る
五段・ラ行特殊,仮定縮約１,りゃ
五段・ラ行特殊,未然特殊,ん
五段・ラ行特殊,未然ウ接続,ろ
五段・ラ行特殊,未然形,ら
五段・ラ行特殊,仮定形,れ
五段・ラ行特殊,連用形,い
五段・ナ行,命令ｅ,ね
五段・ナ行,基本形,ぬ
五段・ナ行,仮定縮約１,にゃ
五段・ナ行,未然ウ接続,の
五段・ナ行,連用タ接続,ん
五段・ナ行,仮定形,ね
五段・ナ行,未然形,な
五段・ナ行,連用形,に
下二・ハ行,体言接続,ふる
下二・ハ行,命令ｙｏ,へよ
下二・ハ行,基本形,ふ
下二・ハ行,未然形,へ
下二・ハ行,仮定形,ふれ
下二・ハ行,連用形,へ
サ変・スル,命令ｙｏ,せよ
サ変・スル,体言接続特殊,すん
サ変・スル,未然ウ接続,しょ
サ変・スル,体言接続特殊２,す
サ変・スル,仮定縮約１,すりゃ
サ変・スル,未然形,し
サ変・スル,命令ｉ,せい
サ変・スル,基本形,する
サ変・スル,命令ｒｏ,しろ
サ変・スル,未然レル接続,さ
サ変・スル,未然ヌ接続,せ
サ変・スル,連用形,し
サ変・スル,仮定形,れ
サ変・スル,文語基本形,す
一段・得ル,仮定形,れ
一段・得ル,基本形,る
上二・ハ行,体言接続,ふる
上二・ハ行,命令ｙｏ,ひよ
上二・ハ行,基本形,ふ
上二・ハ行,未然形,ひ
上二・ハ行,仮定形,ふれ
上二・ハ行,連用形,ひ
五段・マ行,命令ｅ,め
五段・マ行,基本形,む
五段・マ行,仮定縮約１,みゃ
五段・マ行,未然ウ接続,も
五段・マ行,連用タ接続,ん
五段・マ行,仮定形,め
五段・マ行,未然形,ま
五段・マ行,連用形,み
五段・タ行,命令ｅ,て
五段・タ行,基本形,つ
五段・タ行,仮定縮約１,ちゃ
五段・タ行,未然ウ接続,と
五段・タ行,連用タ接続,っ
五段・タ行,仮定形,て
五段・タ行,未然形,た
五段・タ行,連用形,ち
五段・ラ行,命令ｅ,れ
五段・ラ行,連用タ接続,っ
五段・ラ行,体言接続特殊,ん
五段・ラ行,基本形,る
五段・ラ行,仮定縮約１,りゃ
五段・ラ行,未然特殊,ん
五段・ラ行,未然ウ接続,ろ
五段・ラ行,未然形,ら
五段・ラ行,仮定形,れ
五段・ラ行,体言接続特殊２,
五段・ラ行,連用形,り
下二・マ行,体言接続,むる
下二・マ行,命令ｙｏ,めよ
下二・マ行,基本形,む
下二・マ行,未然形,め
下二・マ行,仮定形,むれ
下二・マ行,連用形,め
五段・カ行促音便ユク,命令ｅ,け
五段・カ行促音便ユク,基本形,く
五段・カ行促音便ユク,仮定縮約１,きゃ
五段・カ行促音便ユク,未然ウ接続,こ
五段・カ行促音便ユク,未然形,か
五段・カ行促音便ユク,仮定形,け
五段・カ行促音便ユク,連用形,き
下二・ガ行,体言接続,ぐる
下二・ガ行,命令ｙｏ,げよ
下二・ガ行,基本形,ぐ
下二・ガ行,未然形,げ
下二・ガ行,仮定形,ぐれ
下二・ガ行,連用形,げ
五段・バ行,命令ｅ,べ
五段・バ行,基本形,ぶ
五段・バ行,仮定縮約１,びゃ
五段・バ行,未然ウ接続,ぼ
五段・バ行,連用タ接続,ん
五段・バ行,仮定形,べ
五段・バ行,未然形,ば
五段・バ行,連用形,び
サ変・−スル,命令ｙｏ,せよ
サ変・−スル,文語基本形,す
サ変・−スル,基本形,する
サ変・−スル,命令ｒｏ,しろ
サ変・−スル,未然レル接続,せ
サ変・−スル,未然ウ接続,しよ
サ変・−スル,仮定形,すれ
サ変・−スル,仮定縮約１,すりゃ
サ変・−スル,未然形,し
サ変・−ズル,命令ｙｏ,ぜよ
サ変・−ズル,文語基本形,ず
サ変・−ズル,基本形,ずる
サ変・−ズル,仮定縮約１,ずりゃ
サ変・−ズル,未然ウ接続,ぜよ
サ変・−ズル,仮定形,ずれ
サ変・−ズル,未然形,ぜ
カ変・来ル,命令ｉ,い
カ変・来ル,体言接続特殊,ん
カ変・来ル,命令ｙｏ,よ
カ変・来ル,基本形,る
カ変・来ル,仮定縮約１,りゃ
カ変・来ル,体言接続特殊２,
カ変・来ル,未然ウ接続,よ
カ変・来ル,未然形,
カ変・来ル,仮定形,れ
カ変・来ル,連用形,
五段・カ行促音便,命令ｅ,け
五段・カ行促音便,基本形,く
五段・カ行促音便,仮定縮約１,きゃ
五段・カ行促音便,未然ウ接続,こ
五段・カ行促音便,連用タ接続,っ
五段・カ行促音便,仮定形,け
五段・カ行促音便,未然形,か
五段・カ行促音便,連用形,き
一段,体言接続特殊,ん
一段,命令ｙｏ,よ
一段,基本形,る
一段,命令ｒｏ,ろ
一段,未然ウ接続,よ
一段,未然形,
一段,仮定形,れ
一段,仮定縮約１,りゃ
一段,連用形,
四段・バ行,命令ｅ,べ
四段・バ行,連用形,び
四段・バ行,仮定形,べ
四段・バ行,基本形,ぶ
四段・バ行,未然形,ば
五段・サ行,命令ｅ,せ
五段・サ行,基本形,す
五段・サ行,仮定縮約１,しゃ
五段・サ行,未然ウ接続,そ
五段・サ行,未然形,さ
五段・サ行,仮定形,せ
五段・サ行,連用形,し
五段・ワ行促音便,命令ｅ,え
五段・ワ行促音便,基本形,う
五段・ワ行促音便,未然ウ接続,お
五段・ワ行促音便,連用タ接続,っ
五段・ワ行促音便,仮定形,え
五段・ワ行促音便,未然形,わ
五段・ワ行促音便,連用形,い
下二・ダ行,体言接続,づる
下二・ダ行,命令ｙｏ,でよ
下二・ダ行,基本形,づ
下二・ダ行,未然形,で
下二・ダ行,仮定形,づれ
下二・ダ行,連用形,で
五段・カ行イ音便,命令ｅ,け
五段・カ行イ音便,基本形,く
五段・カ行イ音便,仮定縮約１,きゃ
五段・カ行イ音便,未然ウ接続,こ
五段・カ行イ音便,連用タ接続,い
五段・カ行イ音便,仮定形,け
五段・カ行イ音便,未然形,か
五段・カ行イ音便,連用形,き
一段・クレル,命令ｅ,れ
一段・クレル,命令ｙｏ,れよ
一段・クレル,基本形,れる
一段・クレル,命令ｒｏ,れろ
一段・クレル,未然特殊,ん
一段・クレル,未然ウ接続,れよ
一段・クレル,未然形,れ
一段・クレル,仮定形,れれ
一段・クレル,仮定縮約１,れりゃ
一段・クレル,連用形,れ
上二・ダ行,体言接続,ずる
上二・ダ行,命令ｙｏ,ぢよ
上二・ダ行,基本形,づ
上二・ダ行,仮定形,ずれ
上二・ダ行,未然形,ぢ
上二・ダ行,現代基本形,ず
上二・ダ行,連用形,ぢ
カ変・クル,命令ｉ,こい
カ変・クル,体言接続特殊,くん
カ変・クル,命令ｙｏ,こよ
カ変・クル,基本形,くる
カ変・クル,仮定縮約１,くりゃ
カ変・クル,体言接続特殊２,く
カ変・クル,未然ウ接続,こよ
カ変・クル,未然形,こ
カ変・クル,仮定形,くれ
カ変・クル,連用形,き
四段・タ行,命令ｅ,て
四段・タ行,連用形,ち
四段・タ行,仮定形,て
四段・タ行,基本形,つ
四段・タ行,未然形,た
五段・ガ行,命令ｅ,げ
五段・ガ行,基本形,ぐ
五段・ガ行,仮定縮約１,ぎゃ
五段・ガ行,未然ウ接続,ご
五段・ガ行,連用タ接続,い
五段・ガ行,仮定形,げ
五段・ガ行,未然形,が
五段・ガ行,連用形,ぎ
五段・ワ行ウ音便,命令ｅ,え
五段・ワ行ウ音便,基本形,う
五段・ワ行ウ音便,未然ウ接続,お
五段・ワ行ウ音便,連用タ接続,う
五段・ワ行ウ音便,仮定形,え
五段・ワ行ウ音便,未然形,わ
五段・ワ行ウ音便,連用形,い
下二・カ行,体言接続,くる
下二・カ行,命令ｙｏ,けよ
下二・カ行,基本形,く
下二・カ行,未然形,け
下二・カ行,仮定形,くれ
下二・カ行,連用形,け
形容詞・イ段,連用ゴザイ接続,う
形容詞・イ段,連用タ接続,かっ
形容詞・イ段,仮定縮約１,けりゃ
形容詞・イ段,命令ｅ,かれ
形容詞・イ段,未然ウ接続,かろ
形容詞・イ段,仮定縮約２,きゃ
形容詞・イ段,体言接続,き
形容詞・イ段,仮定形,けれ
形容詞・イ段,基本形,い
形容詞・イ段,連用テ接続,くっ
形容詞・イ段,未然ヌ接続,から
形容詞・イ段,ガル接続,
形容詞・イ段,文語基本形,し
形容詞・アウオ段,連用ゴザイ接続,う
形容詞・アウオ段,連用タ接続,かっ
形容詞・アウオ段,仮定縮約１,けりゃ
形容詞・アウオ段,命令ｅ,かれ
形容詞・アウオ段,未然ウ接続,かろ
形容詞・アウオ段,仮定縮約２,きゃ
形容詞・アウオ段,体言接続,き
形容詞・アウオ段,仮定形,けれ
形容詞・アウオ段,基本形,い
形容詞・アウオ段,連用テ接続,く
形容詞・アウオ段,未然ヌ接続,から
形容詞・アウオ段,ガル接続,
形容詞・アウオ段,文語基本形,し
形容詞・イイ,基本形-促音便,っ
形容詞・イイ,基本形,
不変化型,基本形,
文語・リ,体言接続,る
文語・リ,基本形,り
文語・ベシ,連用形,く
文語・ベシ,体言接続,き
文語・ベシ,未然形,から
文語・ベシ,仮定形,けれ
文語・ベシ,基本形,し
特殊・デス,連用形,し
特殊・デス,未然形,しょ
特殊・デス,基本形,す
文語・ゴトシ,連用形,く
文語・ゴトシ,体言接続,き
文語・ゴトシ,基本形,し
特殊・タイ,音便基本形,てえ
特殊・タイ,仮定縮約２,たきゃ
特殊・タイ,ガル接続,た
特殊・タイ,連用タ接続,たかっ
特殊・タイ,未然ヌ接続,たから
特殊・タイ,仮定縮約１,たけりゃ
特殊・タイ,連用ゴザイ接続,とう
特殊・タイ,仮定形,たけれ
特殊・タイ,基本形,たい
特殊・タイ,体言接続,たき
特殊・タイ,文語基本形,たし
特殊・タイ,未然ウ接続,たかろ
特殊・タイ,連用テ接続,たく
特殊・ナイ,音便基本形,ねえ
特殊・ナイ,仮定縮約２,なきゃ
特殊・ナイ,ガル接続,な
特殊・ナイ,命令ｅ,なかれ
特殊・ナイ,連用タ接続,なかっ
特殊・ナイ,連用デ接続,ない
特殊・ナイ,仮定縮約１,なけりゃ
特殊・ナイ,連用ゴザイ接続,のう
特殊・ナイ,仮定形,なけれ
特殊・ナイ,基本形,ない
特殊・ナイ,文語基本形,なし
特殊・ナイ,体言接続,なき
特殊・ナイ,未然ヌ接続,なから
特殊・ナイ,未然ウ接続,なかろ
特殊・ナイ,連用テ接続,なくっ
下二・タ行,連用形,て
下二・タ行,未然形,て
下二・タ行,仮定形,つれ
下二・タ行,基本形,つ
下二・タ行,体言接続,つる
下二・タ行,命令ｙｏ,てよ
文語・ナリ,体言接続,る
文語・ナリ,未然形,ら
文語・ナリ,命令ｅ,れ
文語・ナリ,仮定形,れ
文語・ナリ,基本形,り
特殊・ヤ,連用形,っ
特殊・ヤ,未然形,ろ
特殊・ヤ,基本形,
文語・ル,連用形,れ
文語・ル,未然形,れ
文語・ル,命令ｅ,れよ
文語・ル,仮定形,るれ
文語・ル,基本形,る
文語・ル,体言接続,るる
文語・ル,命令ｙｏ,れよ
特殊・ヌ,連用形,ざり
特殊・ヌ,連用ニ接続,ず
特殊・ヌ,仮定形,ね
特殊・ヌ,基本形,ぬ
特殊・ヌ,体言接続,ざる
特殊・ヌ,文語基本形,ず
特殊・ジャ,連用形,っ
特殊・ジャ,未然形,ろ
特殊・ジャ,基本形,
文語・マジ,連用形,く
文語・マジ,体言接続,き
文語・マジ,仮定形,けれ
文語・マジ,基本形,
文語・ケリ,体言接続,る
文語・ケリ,基本形,り
特殊・マス,連用形,し
特殊・マス,未然形,せ
特殊・マス,命令ｅ,せ
特殊・マス,仮定形,すれ
特殊・マス,基本形,す
特殊・マス,命令ｉ,し
特殊・マス,未然ウ接続,しょ
五段・ラ行アル,連用形,り
五段・ラ行アル,仮定縮約１,りゃ
五段・ラ行アル,未然形,ら
五段・ラ行アル,未然ウ接続,ろ
五段・ラ行アル,仮定形,れ
五段・ラ行アル,基本形,る
五段・ラ行アル,体言接続特殊,ん
五段・ラ行アル,連用タ接続,っ
五段・ラ行アル,命令ｅ,れ
文語・キ,体言接続,し
文語・キ,命令ｅ,しか
文語・キ,基本形,き
特殊・タ,未然形,ら
特殊・タ,仮定形,ろ
特殊・タ,基本形,
特殊・ダ,連用形,で
特殊・ダ,未然形,だろ
特殊・ダ,命令ｅ,なれ
特殊・ダ,仮定形,なら
特殊・ダ,基本形,だ
特殊・ダ,体言接続,な
特殊・ダ,連用タ接続,だっ
